district,year,subgroup,sampleN,indicator,crudeWeightedPercent,standardErrorPP,relativeStandardErrorPercent,ageStandardizedPercent,confidenceInterval,period,denominator,rateType,sourceSheet,excelRow,excelColumn,pdfPage
부산진구,2024,19-29,108,마네킹 실습 경험률,42.9,5.7,13.2,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",11,6,207
부산진구,2024,19-29,108,AED 실습 경험률,35.9,4.7,13.0,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",11,8,207
부산진구,2024,30-39,113,심폐소생술 교육 경험률,40.2,5.5,13.6,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",12,4,207
부산진구,2024,30-39,113,마네킹 실습 경험률,37.5,5.9,15.6,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",12,6,207
부산진구,2024,30-39,113,AED 실습 경험률,27.5,4.9,17.9,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",12,8,207
부산진구,2024,40-49,154,심폐소생술 교육 경험률,20.7,3.1,15.0,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",13,4,207
부산진구,2024,40-49,154,마네킹 실습 경험률,18.0,2.9,16.2,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",13,6,207
부산진구,2024,40-49,154,AED 실습 경험률,13.1,2.6,20.1,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",13,8,207
부산진구,2024,50-59,149,심폐소생술 교육 경험률,27.1,4.0,14.9,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",14,4,207
부산진구,2024,50-59,149,마네킹 실습 경험률,23.7,4.2,17.8,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",14,6,207
부산진구,2024,50-59,149,AED 실습 경험률,17.2,3.6,21.1,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",14,8,207
부산진구,2024,60-69,209,심폐소생술 교육 경험률,19.6,2.3,11.9,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",15,4,207
부산진구,2024,60-69,209,마네킹 실습 경험률,18.3,2.0,11.2,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",15,6,207
부산진구,2024,60-69,209,AED 실습 경험률,8.0,1.6,19.9,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",15,8,207
부산진구,2024,70 이상,170,심폐소생술 교육 경험률,3.9,1.2,30.0,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",16,4,207
