행정동코드,행정동명,나이대,평균주거인구수,평균직장인구수,평균방문인구수,aggregation,months
2614061500,서구 아미동,20대미만,189.83333333333334,2.5,61.166666666666664,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614061500,서구 아미동,30대,448.75,105.08333333333333,249.5,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614061500,서구 아미동,40대,416.25,91.5,213.25,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614061500,서구 아미동,50대,637.75,100.75,267.75,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614061500,서구 아미동,60대이상,2589.9166666666665,112.41666666666667,580.0833333333334,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614063000,서구 초장동,20대,188.16666666666666,39.666666666666664,106.0,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614063000,서구 초장동,20대미만,120.0,34.583333333333336,64.66666666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614063000,서구 초장동,30대,182.41666666666666,13.5,67.25,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614063000,서구 초장동,40대,315.6666666666667,27.583333333333332,97.16666666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614063000,서구 초장동,50대,477.25,58.916666666666664,158.66666666666666,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614063000,서구 초장동,60대이상,1740.0,61.0,324.4166666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614064000,서구 충무동,20대,615.75,93.25,158.16666666666666,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614064000,서구 충무동,20대미만,309.0833333333333,75.83333333333333,93.08333333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614064000,서구 충무동,30대,438.9166666666667,123.75,133.33333333333334,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614064000,서구 충무동,40대,609.3333333333334,140.58333333333334,187.66666666666666,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614064000,서구 충무동,50대,772.3333333333334,171.91666666666666,287.4166666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614064000,서구 충무동,60대이상,2185.25,173.75,610.5833333333334,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614065000,서구 남부민1동,20대,157.83333333333334,19.0,61.416666666666664,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
