CLMTY_SGG_NM,CLMTY_EMD_NM,EMRG_RSCU_ASSRT_NM,EMRG_RSCU_CLSF_NM,scope,period,priorStable,beforeMobile,afterMobile,mobileRetention,beforeWeekendRatio,afterWeekendRatio,weekendDirectionReversed,weekendBeyond09_11,dayShareChangePP,hourTVD,beforeAll,afterAll,removedOtherChannels,removedWithinMobile,otherChannelsSurviving
연제구,연산동,구급,심정지,A,2020–2024,True,865,605,0.6994219653179191,1.0981697171381033,1.2162162162162162,False,False,-0.8197582764056799,0.04072994792910716,1132,605,267,260,0
연제구,연산동,구급,심정지,A,2021,True,156,113,0.7243589743589743,1.1153846153846154,1.1261094674556213,False,False,-0.2042205582028611,0.08679373723621511,203,113,47,43,0
연제구,연산동,구급,심정지,A,2022,True,212,146,0.6886792452830188,1.1693121693121693,1.3293233082706768,False,False,-3.54096665805117,0.10015507883173946,273,146,61,66,0
연제구,연산동,구급,심정지,A,2023,True,203,146,0.7192118226600985,0.9904761904761905,0.9668934240362812,False,False,-0.9413590660638294,0.0818881166070585,258,146,55,57,0
연제구,연산동,구급,심정지,A,2024,True,165,115,0.696969696969697,1.1592920353982301,1.5045405982905982,False,False,2.4769433465085644,0.10144927536231883,220,115,55,50,0
연제구,연산동,구급,심정지,B,2020,True,104,78,0.75,1.1709100758396531,1.2596153846153846,False,False,-2.8846153846153855,0.09294871794871795,143,78,39,26,0
연제구,연산동,구급,심정지,B,2020–2024,True,710,511,0.719718309859155,1.0786290322580647,1.170977011494253,False,False,-1.1242799261321323,0.041688487086905,895,511,185,199,0
연제구,연산동,구급,심정지,B,2021,True,137,102,0.7445255474452555,0.9987244897959183,1.0456730769230769,True,False,0.26477744382423785,0.10297695720624017,171,102,34,35,0
연제구,연산동,구급,심정지,B,2022,True,169,119,0.7041420118343196,1.1313628899835795,1.253767329716697,False,False,-3.8386952414101727,0.09830441052160509,207,119,38,50,0
연제구,연산동,구급,심정지,B,2023,True,162,115,0.7098765432098766,0.9819376026272577,0.9138321995464852,False,False,-1.9538378958668834,0.08738593666129899,198,115,36,47,0
