행정동코드,행정동명,시간대,평균주거인구수,평균직장인구수,평균방문인구수,aggregation,months
2611054500,중구 보수동,09시,5277.0,1106.3333333333333,1450.5,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611054500,중구 보수동,10시,4847.416666666667,1215.0,1754.75,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611054500,중구 보수동,11시,4591.583333333333,1268.0833333333333,1964.0833333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611054500,중구 보수동,12시,4407.083333333333,1296.75,2168.9166666666665,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611054500,중구 보수동,13시,4261.166666666667,1343.5833333333333,2177.5,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611054500,중구 보수동,14시,4165.083333333333,1373.9166666666667,2152.75,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611054500,중구 보수동,15시,4183.083333333333,1401.75,2079.4166666666665,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611054500,중구 보수동,16시,4308.5,1416.25,1967.0,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611054500,중구 보수동,17시,4546.0,1313.5833333333333,1904.0,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611054500,중구 보수동,18시,4870.666666666667,1098.1666666666667,1945.1666666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611054500,중구 보수동,19시,5218.416666666667,915.5833333333334,1834.0833333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611054500,중구 보수동,20시,6009.166666666667,329.6666666666667,1571.6666666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611054500,중구 보수동,21시,6342.083333333333,235.91666666666666,1319.8333333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611054500,중구 보수동,22시,6663.25,163.0,1162.1666666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611054500,중구 보수동,23시,6849.5,117.0,1121.5833333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611056000,중구 부평동,00시,3895.8333333333335,221.0,4587.583333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611056000,중구 부평동,01시,3933.4166666666665,189.25,4099.583333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611056000,중구 부평동,02시,3966.3333333333335,164.25,3593.6666666666665,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611056000,중구 부평동,03시,3987.3333333333335,149.25,3197.0833333333335,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611056000,중구 부평동,04시,3995.4166666666665,144.08333333333334,2920.8333333333335,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611056000,중구 부평동,05시,3985.5833333333335,151.0,2811.8333333333335,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611056000,중구 부평동,06시,3874.25,204.5,2916.6666666666665,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611056000,중구 부평동,07시,3729.75,526.0833333333334,3184.1666666666665,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611056000,중구 부평동,08시,3450.6666666666665,1329.5,3786.1666666666665,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611056000,중구 부평동,09시,2969.1666666666665,1961.25,4664.75,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611056000,중구 부평동,10시,2775.1666666666665,2187.25,5289.5,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611056000,중구 부평동,11시,2642.0,2316.75,5591.666666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611056000,중구 부평동,12시,2563.4166666666665,2368.8333333333335,5870.083333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611056000,중구 부평동,13시,2502.0833333333335,2463.5,6209.166666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
