snapshot,fieldStudyArea,district,lawDong,categoryCode,category,shops,denominatorShops,sharePct
20240630,부전시장,부산진구,부전동,G221,기타 상품 소매,56,6403,0.8745900359206622
20240630,부전시장,부산진구,부전동,G222,중고 상품 소매,42,6403,0.6559425269404966
20240630,부전시장,부산진구,부전동,I101,일반 숙박,141,6403,2.2020927690145244
20240630,부전시장,부산진구,부전동,I102,기타 숙박,17,6403,0.2655005466187724
20240630,부전시장,부산진구,부전동,I201,한식,750,6403,11.713259409651727
20240630,부전시장,부산진구,부전동,I202,중식,53,6403,0.8277369982820553
20240630,부전시장,부산진구,부전동,I203,일식,109,6403,1.7023270342027175
20240630,부전시장,부산진구,부전동,I204,서양식,45,6403,0.7027955645791035
20240630,부전시장,부산진구,부전동,I205,동남아시아,14,6403,0.21864750898016555
20240630,부전시장,부산진구,부전동,I207,구내식당·뷔페,8,6403,0.12494143370295174
20240630,부전시장,부산진구,부전동,I210,기타 간이,244,6403,3.810713727940028
20240630,부전시장,부산진구,부전동,I211,주점,674,6403,10.526315789473685
20240630,부전시장,부산진구,부전동,I212,비알코올 ,225,6403,3.5139778228955176
20240630,부전시장,부산진구,부전동,L102,부동산 서비스,211,6403,3.2953303139153522
20240630,부전시장,부산진구,부전동,M103,법무관련 ,34,6403,0.5310010932375449
20240630,부전시장,부산진구,부전동,M104,회계·세무,91,6403,1.421208808371076
20240630,부전시장,부산진구,부전동,M105,광고,74,6403,1.1557082617523036
20240630,부전시장,부산진구,부전동,M106,시장 조사,2,6403,0.031235358425737936
20240630,부전시장,부산진구,부전동,M107,본사·경영 컨설팅,86,6403,1.3431204123067313
20240630,부전시장,부산진구,부전동,M109,기술 서비스,55,6403,0.8589723567077933
20240630,부전시장,부산진구,부전동,M111,수의,3,6403,0.046853037638606904
20240630,부전시장,부산진구,부전동,M112,전문 디자인,26,6403,0.40605965953459316
20240630,부전시장,부산진구,부전동,M113,사진 촬영,53,6403,0.8277369982820553
20240630,부전시장,부산진구,부전동,M114,인쇄·제품제작,92,6403,1.436826487583945
20240630,부전시장,부산진구,부전동,M115,기타 전문 과학,6,6403,0.09370607527721381
