snapshot,fieldStudyArea,district,lawDong,lawDongCode,category,shops,denominatorShops,sharePct,busanSameSnapshotSharePct,differenceFromBusanPercentagePoints
20240630,신평역 주변,사하구,신평동,2638010400,예술·스포츠,62,1114,5.565529622980251,3.817145333170844,1.7483842898094073
20240630,신평역 주변,사하구,신평동,2638010400,음식,389,1114,34.91921005385996,35.17961842087446,-0.26040836701449877
20240930,부전시장,부산진구,부전동,2623010300,과학·기술,512,6216,8.236808236808237,8.41251979661582,-0.17571155980758313
20240930,부전시장,부산진구,부전동,2623010300,교육,180,6216,2.8957528957528957,4.278152871551221,-1.3823999757983252
20240930,부전시장,부산진구,부전동,2623010300,보건의료,266,6216,4.2792792792792795,1.3906254341363118,2.8886538451429677
20240930,부전시장,부산진구,부전동,2623010300,부동산,199,6216,3.2014157014157014,3.888472118029507,-0.6870564166138058
20240930,부전시장,부산진구,부전동,2623010300,소매,1949,6216,31.354568854568853,25.352171376177377,6.002397478391476
20240930,부전시장,부산진구,부전동,2623010300,수리·개인,577,6216,9.282496782496782,12.929621294212442,-3.64712451171566
20240930,부전시장,부산진구,부전동,2623010300,숙박,152,6216,2.4453024453024454,1.562196104581701,0.8831063407207445
20240930,부전시장,부산진구,부전동,2623010300,시설관리·임대,201,6216,3.2335907335907335,3.600900225056264,-0.3673094914655306
20240930,부전시장,부산진구,부전동,2623010300,예술·스포츠,150,6216,2.413127413127413,3.794004056569698,-1.380876643442285
20240930,부전시장,부산진구,부전동,2623010300,음식,2030,6216,32.65765765765766,34.791336723069655,-2.1336790654119966
20240930,못골시장,남구,대연동,2629010600,과학·기술,398,4314,9.225776541492815,8.41251979661582,0.8132567448769947
20240930,못골시장,남구,대연동,2629010600,교육,250,4314,5.795085767269356,4.278152871551221,1.516932895718135
20240930,못골시장,남구,대연동,2629010600,보건의료,79,4314,1.8312471024571164,1.3906254341363118,0.4406216683208046
