district,rawDong,subtype,candidateCode,candidateName,year,referenceDate,total,age12Plus,age65Plus,age12PlusShare,age65PlusShare,0–11세Count,0–11세Share,12–19세Count,12–19세Share,20–39세Count,20–39세Share,40–64세Count,40–64세Share,65–79세Count,65–79세Share,80세 이상Count,80세 이상Share
연제구,연산동,심정지,2647073000,연산제9동,2024,2024-12-31,31990,29932,7880,0.9356673960612691,0.24632697718036886,2058,0.06433260393873086,2082,0.06508283838699594,6768,0.21156611441075335,13202,0.412691466083151,6369,0.19909346670834635,1511,0.047233510472022504
부산진구,부전동,교통사고,2623051000,부전제1동,2020,2020-12-31,15533,14820,2972,0.9540977274190433,0.19133457799523595,713,0.04590227258095667,468,0.030129401918496106,5704,0.3672181806476534,5676,0.3654155668576579,2359,0.15187021180712032,613,0.03946436618811563
부산진구,부전동,교통사고,2623051000,부전제1동,2021,2021-12-31,15902,15183,2987,0.954785561564583,0.18783800779776127,719,0.04521443843541693,453,0.02848698276946296,6163,0.3875613130423846,5580,0.35089925795497423,2355,0.1480945792982015,632,0.0397434284995598
부산진구,부전동,교통사고,2623051000,부전제1동,2022,2022-12-31,15768,15097,3046,0.9574454591577879,0.19317605276509386,671,0.04255454084221207,445,0.02822171486555048,6209,0.39377219685438863,5397,0.3422754946727549,2382,0.1510654490106545,664,0.04211060375443937
부산진구,부전동,교통사고,2623051000,부전제1동,2023,2023-12-31,15712,15099,3109,0.960985234215886,0.19787423625254583,613,0.03901476578411405,413,0.026285641547861508,6412,0.4080957230142566,5165,0.328729633401222,2439,0.1552316700610998,670,0.042642566191446026
부산진구,부전동,교통사고,2623051000,부전제1동,2024,2024-12-31,14234,13687,2677,0.9615708866095265,0.18807081635520584,547,0.038429113390473515,338,0.02374596037656316,6293,0.4421104397920472,4379,0.30764367008571025,2129,0.1495714486440916,548,0.03849936771111424
부산진구,부전동,교통사고,2623052000,부전제2동,2020,2020-12-31,9915,9200,1366,0.9278870398386283,0.13777105395864853,715,0.07211296016137166,370,0.03731719616742309,3688,0.3719616742309632,3776,0.38083711548159355,1094,0.11033787191124558,272,0.027433182047402926
부산진구,부전동,교통사고,2623052000,부전제2동,2021,2021-12-31,9930,9201,1359,0.9265861027190332,0.13685800604229606,729,0.07341389728096677,372,0.03746223564954683,3652,0.3677744209466264,3818,0.38449144008056396,1105,0.11127895266868076,254,0.025579053373615306
부산진구,부전동,교통사고,2623052000,부전제2동,2022,2022-12-31,10699,10015,1405,0.9360687914758389,0.13132068417609122,684,0.06393120852416113,370,0.034582671277689506,4482,0.41891765585568747,3758,0.3512477801663707,1136,0.10617814749041966,269,0.025142536685671558
부산진구,부전동,교통사고,2623052000,부전제2동,2023,2023-12-31,11886,11070,1536,0.9313478041393236,0.1292276627965674,816,0.06865219586067643,408,0.034326097930338216,5133,0.43185259969712264,3993,0.33594144371529533,1239,0.10424028268551237,297,0.024987380111055023
