code,name,residential00,residential12,residentialNoonMidnightRatio,residentialPeakHour,workplace00,workplace12,workplaceNoonMidnightRatio,workplacePeakHour,visitor00,visitor12,visitorNoonMidnightRatio,visitorPeakHour,visitorNoonAboveMidnightMonths
2629058000,남구 용호2동,16537.0,9305.583333333334,0.5627129064118845,04시,214.0,2019.25,9.435747663551401,16시,2089.0,3807.8333333333335,1.8228019786181586,14시,12
2629059000,남구 용호3동,10670.5,6620.5,0.6204489011761398,04시,135.41666666666666,2276.9166666666665,16.814153846153847,13시,1622.3333333333333,3100.8333333333335,1.9113416889254162,12시,12
2629060000,남구 용호4동,6118.083333333333,3687.9166666666665,0.6027895446558699,04시,159.08333333333334,1184.9166666666667,7.448402304871661,16시,1723.25,2455.5833333333335,1.4249721940132503,12시,12
2629061000,남구 용당동,6587.166666666667,3867.4166666666665,0.5871138324519899,04시,132.66666666666666,2884.5833333333335,21.74309045226131,14시,1271.8333333333333,4138.583333333333,3.2540296160398374,11시,12
2629062000,남구 감만1동,5502.916666666667,3134.3333333333335,0.5695767396077838,04시,173.16666666666666,1961.0,11.324350336862368,14시,1611.0833333333333,2933.8333333333335,1.8210313970930536,14시,12
2629063000,남구 감만2동,4074.0,2454.4166666666665,0.6024586810669285,04시,56.416666666666664,541.75,9.602658788774002,16시,1723.5,1650.0833333333333,0.9574025722850787,23시,2
2629064500,남구 우암동,11686.833333333334,6936.0,0.5934883986252335,04시,212.66666666666666,2051.8333333333335,9.648119122257054,16시,2668.9166666666665,3517.6666666666665,1.318012926593187,10시,12
2629068000,남구 문현1동,7869.416666666667,4549.75,0.5781559412493513,04시,107.25,1312.25,12.235431235431236,15시,1827.4166666666667,2474.9166666666665,1.3543253226321308,12시,12
2629069000,남구 문현2동,5040.166666666667,3153.3333333333335,0.6256406864852353,04시,164.83333333333334,4496.083333333333,27.276541961577347,14시,1562.3333333333333,4038.5833333333335,2.5849690633667595,14시,12
2629070000,남구 문현3동,10296.666666666666,5744.666666666667,0.5579151829070897,04시,213.91666666666666,1366.8333333333333,6.389559797428905,16시,7909.5,6905.75,0.8730956444781591,23시,0
2629071000,남구 문현4동,5053.916666666667,2937.5833333333335,0.581248866390753,04시,46.166666666666664,1156.1666666666667,25.043321299638993,15시,1060.3333333333333,1784.1666666666667,1.6826469663627792,14시,12
